,Unnamed: 0,Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received,Major
41,1962,ECE,ECE 101 ,"Siegel, Paul H.",FA14,207,76,91.5,97.2,7.88,3.13,2.63,sip
42,1963,ECE,ECE 101 ,"Siegel, Paul H.",FA16,207,104,83.2,94.7,7.86,2.92,2.44,sip
43,1964,ECE,ECE 101 ,"Siegel, Paul H.",FA17,178,119,85.5,99.1,8.19,2.95,2.48,sip
44,1965,ECE,ECE 101 ,"Siegel, Paul H.",FA18,127,84,89.0,95.1,7.89,3.17,3.02,sip
45,1966,ECE,ECE 101 ,"Siegel, Paul H.",WI08,65,42,95.2,100.0,7.83,3.4,2.5,sip
46,1967,ECE,ECE 101 ,"Siegel, Paul H.",WI12,68,38,86.8,94.7,9.26,3.28,2.72,sip
47,1968,ECE,ECE 101 ,"Siegel, Paul H.",WI13,76,30,82.8,89.7,9.31,2.88,2.55,sip
48,1969,ECE,ECE 101 ,"Siegel, Paul H.",WI16,155,69,89.1,95.3,8.18,3.1,2.49,sip
49,1970,ECE,ECE 101 ,"Touri, Behrouz",SP18,146,65,80.3,86.9,7.7,3.18,2.97,sip
50,1971,ECE,ECE 101 ,"Touri, Behrouz",WI19,57,38,86.1,94.4,7.09,3.25,3.34,sip
51,1972,ECE,ECE 101 ,"Vardy, Alexander",FA07,98,65,79.4,79.0,7.83,3.0,2.85,sip
52,1973,ECE,ECE 101 ,"Vardy, Alexander",WI14,104,37,75.0,81.3,8.5,3.2,2.62,sip
53,1974,ECE,ECE 102 ,"Groe, John",FA10,78,37,75.7,45.9,12.5,3.06,2.49,ecs
54,1975,ECE,ECE 102 ,"Groe, John",SP12,59,23,91.3,65.2,11.11,3.13,2.08,ecs
55,1976,ECE,ECE 102 ,"Hall, Drew A.",FA13,64,41,94.9,92.3,12.81,3.08,2.73,ecs
56,1977,ECE,ECE 102 ,"Hall, Drew A.",FA14,66,33,93.8,96.9,9.98,3.33,2.56,ecs
57,1978,ECE,ECE 102 ,"Hall, Drew A.",FA18,54,23,82.6,90.9,12.24,2.83,2.71,ecs
58,1979,ECE,ECE 102 ,"Hall, Drew A.",SP13,76,32,96.9,90.6,9.94,3.21,2.93,ecs
59,1980,ECE,ECE 102 ,"Hall, Drew A.",WI14,63,30,96.6,93.1,11.4,3.28,2.61,ecs
60,1981,ECE,ECE 102 ,"Hall, Drew A.",WI15,150,65,93.5,96.8,11.29,3.17,2.58,ecs
61,1982,ECE,ECE 102 ,"Hall, Drew A.",WI16,220,102,84.0,86.2,12.94,2.9,2.56,ecs
62,1983,ECE,ECE 102 ,"Hall, Drew A.",WI17,179,97,76.8,91.6,12.09,2.83,2.7,ecs
63,1984,ECE,ECE 102 ,"Hsueh, Tzu-Chien",WI19,65,22,88.9,77.8,9.87,3.05,3.0,ecs
64,1985,ECE,ECE 102 ,"Larson, Lawrence E.",FA07,108,60,89.3,98.2,8.96,3.12,2.04,ecs
65,1986,ECE,ECE 102 ,"Larson, Lawrence E.",FA08,101,55,88.9,90.7,8.5,3.09,2.54,ecs
66,1987,ECE,ECE 102 ,"Najmabadi, Farrokh",FA11,88,36,97.2,91.7,9.39,3.24,2.67,ecs
67,1988,ECE,ECE 102 ,"Najmabadi, Farrokh",FA12,126,47,88.6,97.7,7.32,3.33,2.55,ecs
68,1989,ECE,ECE 102 ,"Najmabadi, Farrokh",WI10,81,28,89.3,78.6,7.76,2.96,2.17,ecs
69,1990,ECE,ECE 102 ,"Najmabadi, Farrokh",WI11,102,33,80.6,93.8,7.05,2.94,2.45,ecs
70,1991,ECE,ECE 102 ,"Schurgers, Curt",FA09,72,42,87.8,80.5,7.82,3.05,2.22,ecs
71,1992,ECE,ECE 102 ,"Schurgers, Curt",FA17,51,36,85.3,94.1,11.15,2.85,2.13,ecs
72,1993,ECE,ECE 102 ,"Schurgers, Curt",WI08,50,31,83.3,90.3,10.31,3.15,2.21,ecs
73,1994,ECE,ECE 102 ,"Schurgers, Curt",WI09,49,32,87.5,87.5,9.06,2.84,1.98,ecs
74,1995,ECE,ECE 103 ,"Dayeh, Shadi Ahmad",FA13,91,48,66.7,75.6,10.05,2.71,2.07,mat
75,1996,ECE,ECE 103 ,"Dayeh, Shadi Ahmad",WI15,85,39,91.9,100.0,10.33,3.05,3.27,mat
76,1997,ECE,ECE 103 ,"Kuzum, Duygu",SP16,110,60,82.8,94.8,8.39,3.16,3.09,mat
77,1998,ECE,ECE 103 ,"Kuzum, Duygu",SP17,67,20,64.7,70.6,6.62,3.18,3.07,mat
78,1999,ECE,ECE 103 ,"Kuzum, Duygu",SP18,39,18,88.2,100.0,7.79,3.0,3.15,mat
79,2000,ECE,ECE 103 ,"Kuzum, Duygu",SP19,53,21,94.7,100.0,6.82,3.26,2.89,mat
80,2001,ECE,ECE 103 ,"Kuzum, Duygu",WI18,27,12,100.0,100.0,8.17,3.42,3.17,mat
81,2002,ECE,ECE 103 ,"Ng, Tse Nga",FA16,147,61,80.0,80.0,7.9,3.19,2.85,mat
82,2003,ECE,ECE 103 ,"Ng, Tse Nga",FA17,32,22,81.8,77.3,6.68,3.09,2.97,mat
83,2004,ECE,ECE 103 ,"Ng, Tse Nga",FA18,42,20,78.9,63.2,8.61,3.44,3.07,mat
84,2005,ECE,ECE 103 ,"Taur, Yuan",FA09,77,31,83.3,73.3,5.17,3.23,2.76,mat
85,2006,ECE,ECE 103 ,"Taur, Yuan",FA10,82,34,67.6,70.6,6.97,3.0,2.76,mat
86,2007,ECE,ECE 103 ,"Taur, Yuan",FA11,71,36,80.0,60.0,9.47,3.32,2.87,mat
87,2008,ECE,ECE 103 ,"Tu, Charles",FA07,39,26,61.5,40.0,7.5,2.88,2.61,mat
88,2009,ECE,ECE 103 ,"Tu, Charles",FA08,52,46,60.9,71.1,6.98,3.05,2.47,mat
89,2010,ECE,ECE 103 ,"Tu, Charles",FA12,91,34,73.3,46.7,7.83,3.03,2.46,mat
90,2011,ECE,ECE 103 ,"Tu, Charles",FA14,194,60,88.2,66.7,8.14,3.24,2.53,mat
91,2012,ECE,ECE 103 ,"Tu, Charles",FA15,74,52,76.5,72.5,8.42,3.1,2.6,mat
92,2013,ECE,ECE 103 ,"Tu, Charles",WI13,66,25,82.6,60.9,7.46,3.09,2.62,mat
93,2014,ECE,ECE 103 ,"Tu, Charles",WI14,103,27,69.2,73.1,8.04,3.15,2.5,mat
94,2015,ECE,ECE 103 ,"Tu, Charles",WI16,107,72,80.6,65.3,6.87,2.87,2.8,mat
95,2016,ECE,ECE 103 ,"Tu, Charles",WI17,41,11,36.4,36.4,7.05,3.0,2.8,mat
96,2017,ECE,ECE 103 ,"Wang, Deli",SP08,57,33,76.7,63.3,7.59,3.27,2.62,mat
97,2018,ECE,ECE 103 ,"Wang, Deli",WI09,59,43,71.4,38.1,6.92,2.98,2.57,mat
98,2019,ECE,ECE 103 ,"Wang, Deli",WI10,44,17,70.6,47.1,6.5,3.29,2.84,mat
99,2020,ECE,ECE 103 ,"Wang, Deli",WI11,67,33,75.8,69.7,8.68,3.21,2.91,mat
100,2021,ECE,ECE 103 ,"Wang, Deli",WI12,67,25,70.8,62.5,7.17,3.16,2.85,mat
101,2022,ECE,ECE 107 ,"Fullerton, Eric E",SP08,80,36,91.2,82.4,7.0,3.08,2.74,ecs
102,2023,ECE,ECE 107 ,"Fullerton, Eric E",SP09,66,36,81.8,93.9,7.53,3.18,2.85,ecs
103,2024,ECE,ECE 107 ,"Fullerton, Eric E",SP10,48,29,82.1,96.6,8.78,3.1,2.75,ecs
104,2025,ECE,ECE 107 ,"Fullerton, Eric E",SP11,95,42,75.6,95.1,8.6,2.83,2.46,ecs
105,2026,ECE,ECE 107 ,"Fullerton, Eric E",SP12,67,30,82.1,71.4,9.9,2.87,2.62,ecs
106,2027,ECE,ECE 107 ,"Fullerton, Eric E",SP13,91,27,76.9,84.6,9.58,3.21,2.67,ecs
107,2028,ECE,ECE 107 ,"Fullerton, Eric E",SP14,119,35,78.8,81.8,10.38,2.8,2.6,ecs
108,2029,ECE,ECE 107 ,"Fullerton, Eric E",SP15,183,48,88.4,83.7,9.62,3.03,2.41,ecs
109,2030,ECE,ECE 107 ,"Fullerton, Eric E",SP16,173,50,89.4,93.6,9.45,2.93,2.64,ecs
110,2031,ECE,ECE 107 ,"Fullerton, Eric E",SP17,94,24,68.2,77.3,10.6,2.82,2.43,ecs
111,2032,ECE,ECE 107 ,"Fullerton, Eric E",SP19,104,34,80.0,60.0,10.1,3.0,2.8,ecs
112,2033,ECE,ECE 107 ,"Kante, Boubacar",WI16,89,73,74.6,62.0,7.76,2.62,2.11,ecs
113,2034,ECE,ECE 107 ,"Kante, Boubacar",WI17,32,24,91.7,83.3,7.75,2.75,2.39,ecs
114,2035,ECE,ECE 107 ,"Kante, Boubacar",WI18,53,33,80.6,90.3,7.56,3.03,2.92,ecs
115,2036,ECE,ECE 107 ,"Lomakin, Vitaliy",FA16,50,19,76.5,76.5,8.23,2.93,2.61,ecs
116,2037,ECE,ECE 107 ,"Lomakin, Vitaliy",FA18,49,23,89.5,84.2,7.76,3.16,2.7,ecs
117,2038,ECE,ECE 107 ,"Lomakin, Vitaliy",SP18,75,28,84.0,76.0,9.06,2.87,2.83,ecs
118,2039,ECE,ECE 107 ,"Lomakin, Vitaliy",WI08,54,15,73.3,66.7,7.17,3.31,2.51,ecs
119,2040,ECE,ECE 107 ,"Lomakin, Vitaliy",WI09,54,31,77.4,77.4,6.5,3.43,2.66,ecs
120,2041,ECE,ECE 107 ,"Lomakin, Vitaliy",WI10,43,19,73.7,47.4,6.5,3.16,2.66,ecs
121,2042,ECE,ECE 107 ,"Lomakin, Vitaliy",WI11,45,17,64.7,52.9,8.74,2.8,1.86,ecs
122,2043,ECE,ECE 107 ,"Lomakin, Vitaliy",WI12,64,38,94.7,91.9,9.64,3.46,2.79,ecs
123,2044,ECE,ECE 107 ,"Lomakin, Vitaliy",WI13,83,36,76.5,82.4,9.15,2.82,2.62,ecs
124,2045,ECE,ECE 107 ,"Lomakin, Vitaliy",WI14,93,37,86.1,83.3,7.89,3.21,2.51,ecs
125,2046,ECE,ECE 107 ,"Lomakin, Vitaliy",WI15,109,41,83.8,67.6,8.56,3.05,2.52,ecs
126,2047,ECE,ECE 107 ,"Lomakin, Vitaliy",WI19,45,16,100.0,81.3,8.13,3.19,2.59,ecs
127,2048,ECE,ECE 107 ,"Shevchenko, Valentin I",S117,21,5,75.0,75.0,11.7,3.0,2.84,ecs
128,2049,ECE,ECE 107 ,"Shevchenko, Valentin I",S215,52,8,62.5,37.5,12.5,2.63,2.79,ecs
129,2050,ECE,ECE 107 ,"Shevchenko, Valentin I",S216,83,41,72.5,72.5,10.87,3.05,2.94,ecs
130,2051,ECE,ECE 107 ,"Shevchenko, Valentin I",S218,40,16,73.3,53.3,14.1,2.67,3.1,ecs
131,2052,ECE,ECE 107 ,"Sievenpiper, Daniel F.",SP10,25,13,84.6,91.7,7.27,3.08,2.44,ecs
132,2053,ECE,ECE 108 ,"Esener, Sadik C",SP10,73,40,87.5,80.0,8.25,2.98,2.65,sip
133,2054,ECE,ECE 108 ,"Esener, Sadik C",WI08,57,43,83.7,58.1,10.13,3.18,2.59,sip
134,2055,ECE,ECE 108 ,"Esener, Sadik C",WI09,64,52,78.8,75.0,7.62,3.18,2.99,sip
135,2056,ECE,ECE 108 ,"Esener, Sadik C",WI11,75,33,81.8,66.7,7.65,3.03,2.76,sip
136,2057,ECE,ECE 108 ,"Esener, Sadik C",WI12,95,52,84.6,71.2,9.83,2.96,2.67,sip
137,2058,ECE,ECE 108 ,"Esener, Sadik C",WI13,68,33,68.8,59.4,8.95,2.81,2.67,sip
138,2059,ECE,ECE 108 ,"Mookherjea, Shayan",SP11,74,26,84.0,72.0,9.7,2.91,2.89,sip
139,2060,ECE,ECE 108 ,"Mookherjea, Shayan",SP12,73,32,81.3,68.8,10.75,3.38,3.19,sip
140,2061,ECE,ECE 108 ,"Mookherjea, Shayan",SP13,147,71,68.6,42.9,10.01,3.06,2.58,sip
141,2062,ECE,ECE 108 ,"Mookherjea, Shayan",SP14,63,16,80.0,73.3,7.57,3.4,3.35,sip
142,2063,ECE,ECE 108 ,"Yun, Kenneth Yi",SP08,59,34,70.6,91.2,8.68,3.03,2.59,sip
143,2064,ECE,ECE 108 ,"Yun, Kenneth Yi",SP09,73,34,80.6,80.0,8.31,3.03,2.64,sip
144,2065,ECE,ECE 109 ,"Cruz, Rene L",SP09,126,49,70.2,83.0,4.38,3.6,3.18,sip
145,2066,ECE,ECE 109 ,"Kim, Minji",S217,49,41,87.5,97.5,11.8,2.8,2.62,sip
146,2067,ECE,ECE 109 ,"Lugannani, Robert",SP12,202,93,90.2,96.8,7.79,3.42,2.6,sip
147,2068,ECE,ECE 109 ,"Lugannani, Robert",SP13,205,71,84.5,85.9,5.38,3.39,2.35,sip
148,2069,ECE,ECE 109 ,"Lugannani, Robert",SP14,331,114,82.2,86.1,6.02,3.35,2.45,sip
149,2070,ECE,ECE 109 ,"Lugannani, Robert",SP15,212,57,75.0,80.8,6.66,3.19,2.59,sip
150,2071,ECE,ECE 109 ,"Lugannani, Robert",SP16,292,82,77.3,70.7,6.08,3.21,2.51,sip
151,2072,ECE,ECE 109 ,"Lugannani, Robert",SP17,296,86,86.4,85.2,5.15,3.44,2.65,sip
152,2073,ECE,ECE 109 ,"Lugannani, Robert",SP18,261,90,85.1,84.9,5.98,3.42,2.74,sip
153,2074,ECE,ECE 109 ,"Masnadi-Shirazi, Maryam",S116,84,16,86.7,73.3,7.64,3.64,2.53,sip
154,2075,ECE,ECE 109 ,"Rao, Ramesh R",WI14,78,20,84.2,84.2,7.72,2.63,2.92,sip
155,2076,ECE,ECE 109 ,"Vardy, Alexander",SP11,129,77,70.1,90.9,9.03,3.01,2.59,sip
156,2077,ECE,ECE 109 ,"Vardy, Alexander",WI08,106,77,73.7,94.7,6.94,3.23,2.88,sip
157,2078,ECE,ECE 109 ,"Vardy, Alexander",WI19,114,46,72.1,83.3,8.31,3.1,2.81,sip
158,2079,ECE,ECE 109 ,"Zeger, Kenneth A.",FA18,91,37,91.2,91.2,6.84,3.11,2.66,sip
159,2080,ECE,ECE 109 ,"Zeger, Kenneth A.",SP08,76,55,72.7,90.7,4.76,3.17,2.4,sip
160,2081,ECE,ECE 109 ,"Zeger, Kenneth A.",SP15,106,36,86.1,83.3,6.63,2.8,2.39,sip
161,2082,ECE,ECE 109 ,"Zeger, Kenneth A.",SP19,163,54,57.4,76.6,7.39,2.67,2.61,sip
162,2083,ECE,ECE 109 ,"Zeger, Kenneth A.",WI09,112,76,75.3,88.9,6.2,3.19,2.01,sip
163,2084,ECE,ECE 109 ,"Zeger, Kenneth A.",WI10,103,32,75.0,90.6,4.38,3.29,2.21,sip
164,2085,ECE,ECE 109 ,"Zeger, Kenneth A.",WI11,145,56,72.2,68.5,7.45,2.51,2.09,sip
165,2086,ECE,ECE 109 ,"Zeger, Kenneth A.",WI12,107,46,78.3,89.1,5.57,3.0,2.16,sip
166,2087,ECE,ECE 109 ,"Zeger, Kenneth A.",WI13,128,37,86.5,81.1,6.39,3.29,2.17,sip
167,2088,ECE,ECE 109 ,"Zeger, Kenneth A.",WI14,85,31,85.2,77.8,6.98,3.04,2.34,sip
168,2089,ECE,ECE 109 ,"Zeger, Kenneth A.",WI15,129,44,88.1,81.0,6.5,2.79,2.53,sip
169,2090,ECE,ECE 109 ,"Zeger, Kenneth A.",WI16,107,46,78.6,78.6,7.32,2.65,2.32,sip
170,2091,ECE,ECE 109 ,"Zeger, Kenneth A.",WI17,126,47,90.9,93.2,6.31,3.1,2.37,sip
171,2092,ECE,ECE 109 ,"Zeger, Kenneth A.",WI18,77,30,80.0,86.7,5.77,2.93,2.7,sip
172,2093,ECE,ECE 111 ,"Bendak, Michael Beshara",WI08,34,18,88.9,83.3,6.94,3.44,3.39,ecs
173,2094,ECE,ECE 111 ,"Dey, Sujit",FA10,21,8,87.5,87.5,13.0,3.75,3.64,ecs
174,2095,ECE,ECE 111 ,"Eldon, John",FA08,23,10,100.0,100.0,6.3,3.8,3.46,ecs
175,2096,ECE,ECE 111 ,"Guest, Clark C",FA11,31,10,80.0,66.7,11.39,3.2,3.42,ecs
176,2097,ECE,ECE 111 ,"Guest, Clark C",FA12,50,15,72.7,27.3,9.23,3.45,3.7,ecs
177,2098,ECE,ECE 111 ,"Guest, Clark C",FA13,65,32,69.0,44.8,11.19,3.65,3.39,ecs
178,2099,ECE,ECE 111 ,"Koushanfar, Farinaz",FA16,110,33,48.4,22.6,8.16,3.1,3.14,ecs
179,2100,ECE,ECE 111 ,"Koushanfar, Farinaz",FA17,46,13,66.7,50.0,8.33,3.17,3.07,ecs
180,2101,ECE,ECE 111 ,"Koushanfar, Farinaz",FA18,42,35,68.6,54.3,8.44,3.4,3.58,ecs
181,2102,ECE,ECE 111 ,"Lin, Bill",SP10,49,25,92.0,92.0,10.26,3.79,3.44,ecs
182,2103,ECE,ECE 111 ,"Lin, Bill",SP11,35,12,83.3,100.0,8.83,3.73,3.43,ecs
183,2104,ECE,ECE 111 ,"Lin, Bill",SP12,54,21,95.2,85.7,8.88,3.62,3.38,ecs
184,2105,ECE,ECE 111 ,"Lin, Bill",SP13,66,13,92.3,100.0,7.5,3.58,3.37,ecs
185,2106,ECE,ECE 111 ,"Lin, Bill",SP14,78,23,100.0,85.7,7.64,3.62,3.26,ecs
186,2107,ECE,ECE 111 ,"Lin, Bill",SP17,150,46,86.1,85.4,8.135,3.51,3.09,ecs
187,2108,ECE,ECE 111 ,"Lin, Bill",SP18,119,29,92.5,95.85,6.415,3.64,3.59,ecs
188,2109,ECE,ECE 111 ,"Lin, Bill",WI15,164,46,91.06666666666666,91.1,11.160000000000002,3.6166666666666663,3.35,ecs
189,2110,ECE,ECE 111 ,"Lin, Bill",WI16,184,49,83.1,81.76666666666667,7.916666666666668,3.283333333333333,3.4,ecs
190,2111,ECE,ECE 111 ,"Lin, Bill",WI17,132,47,91.1,97.85,7.4250000000000025,3.48,3.39,ecs
191,2112,ECE,ECE 111 ,"Lin, Bill",WI18,104,33,100.0,100.0,6.165,3.765,3.17,ecs
192,2113,ECE,ECE 111 ,"Lin, Bill",WI19,137,45,84.30000000000003,97.85,6.79,3.395,3.41,ecs
193,2114,ECE,ECE 115 ,"Yip, Michael",SP16,20,16,100.0,100.0,11.75,3.69,3.62,ecs
194,2115,ECE,ECE 115 ,"Yip, Michael",SP18,21,15,100.0,100.0,13.97,3.47,3.68,ecs
195,2116,ECE,ECE 115 ,"Yip, Michael",WI17,21,18,100.0,100.0,13.94,3.59,3.69,ecs
196,2117,ECE,ECE 118 ,"Guest, Clark C",SP08,21,18,94.4,83.3,9.39,3.69,3.01,sm
197,2118,ECE,ECE 118 ,"Guest, Clark C",SP09,24,20,100.0,100.0,6.9,3.2,3.25,sm
198,2119,ECE,ECE 118 ,"Guest, Clark C",SP10,24,9,100.0,77.8,7.17,3.22,3.17,sm
199,2120,ECE,ECE 118 ,"Guest, Clark C",SP11,34,15,100.0,80.0,9.7,2.93,3.0,sm
200,2121,ECE,ECE 118 ,"Guest, Clark C",SP12,34,16,93.8,87.5,10.0,3.47,3.03,sm
201,2122,ECE,ECE 118 ,"Guest, Clark C",SP13,38,9,87.5,75.0,9.25,3.63,2.92,sm
202,2123,ECE,ECE 118 ,"Guest, Clark C",SP14,52,13,91.7,75.0,9.17,3.33,3.11,sm
203,2124,ECE,ECE 120 ,"Quest, Kevin B",SP10,38,13,75.0,100.0,3.88,3.31,3.23,ener
204,2125,ECE,ECE 120 ,"Quest, Kevin B",SP11,27,9,100.0,88.9,2.94,3.25,3.26,ener
205,2126,ECE,ECE 120 ,"Quest, Kevin B",SP12,29,10,66.7,100.0,3.1,3.44,3.08,ener
206,2127,ECE,ECE 120 ,"Quest, Kevin B",SP13,43,12,91.7,100.0,2.67,3.75,3.29,ener
207,2128,ECE,ECE 120 ,"Quest, Kevin B",SP14,71,21,100.0,94.7,2.61,3.56,2.85,ener
208,2129,ECE,ECE 120 ,"Quest, Kevin B",SP16,47,17,100.0,100.0,3.88,3.53,3.09,ener
209,2130,ECE,ECE 120 ,"Quest, Kevin B",SP17,48,11,80.0,100.0,5.3,3.1,3.12,ener
210,2131,ECE,ECE 120 ,"Quest, Kevin B",SP18,48,14,100.0,100.0,2.96,3.54,3.27,ener
211,2132,ECE,ECE 120 ,"Quest, Kevin B",SP19,59,19,94.4,94.4,3.94,3.39,3.36,ener
212,2133,ECE,ECE 121 ,"Esmaili, Gholamreza",WI16,54,18,93.8,100.0,8.21,3.21,2.75,ener
213,2134,ECE,ECE 121A ,"Esmaili, Gholamreza",FA16,80,29,100.0,96.6,10.29,3.0,2.87,ener
214,2135,ECE,ECE 121A ,"Esmaili, Gholamreza",FA17,48,12,100.0,100.0,8.14,3.27,3.02,ener
215,2136,ECE,ECE 121A ,"Esmaili, Gholamreza",FA18,50,14,100.0,83.3,7.42,3.31,3.2,ener
216,2137,ECE,ECE 121B ,"Esmaili, Gholamreza",WI17,62,14,100.0,100.0,9.93,3.08,2.95,ener
217,2138,ECE,ECE 121B ,"Esmaili, Gholamreza",WI18,39,16,93.3,92.9,7.17,3.07,3.08,ener
218,2139,ECE,ECE 121B ,"Esmaili, Gholamreza",WI19,31,14,100.0,100.0,8.21,3.43,2.97,ener
219,2140,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP16,42,16,93.8,93.8,7.38,3.29,2.96,ecs
220,2141,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP17,52,11,100.0,100.0,6.3,3.8,2.94,ecs
221,2142,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP18,26,17,100.0,100.0,6.15,3.12,2.9,ecs
222,2143,ECE,ECE 123 ,"Sievenpiper, Daniel F.",SP19,37,15,100.0,100.0,6.81,3.75,3.16,ecs
223,2144,ECE,ECE 125A ,"Asbeck, Peter Michael",WI16,55,17,100.0,64.7,9.83,3.19,3.34,ener
224,2145,ECE,ECE 125A ,"Asbeck, Peter Michael",WI17,72,14,92.9,78.6,9.12,3.07,2.8,ener
225,2146,ECE,ECE 125A ,"Esmaili, Gholamreza",WI15,59,17,100.0,100.0,9.97,2.71,2.97,ener
226,2147,ECE,ECE 125A ,"Esmaili, Gholamreza",WI18,42,12,90.9,100.0,8.14,3.45,3.03,ener
227,2148,ECE,ECE 125A ,"Esmaili, Gholamreza",WI19,28,9,100.0,100.0,9.17,3.44,3.16,ener
