Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
CSE,CSE 100 ,"Alvarado, Christine J.",FA13,205,161,98.1,93.5,9.87,3.34,2.64
CSE,CSE 100 ,"Alvarado, Christine J.",FA16,321,292,97.4,96.55,11.46,3.51,3.19
CSE,CSE 100 ,"Alvarado, Christine J.",SP16,386,325,94.8,92.05,11.065,3.165,2.7
CSE,CSE 100 ,"Alvarado, Christine J.",WI15,196,139,96.4,94.9,12.5,3.14,2.51
CSE,CSE 100 ,"Alvarado, Christine J.",WI16,424,364,96.25,95.45,10.870000000000001,3.35,2.89
CSE,CSE 100 ,"Alvarado, Christine J.",WI17,449,385,95.05000000000001,96.9,12.415,3.365,2.86
CSE,CSE 100 ,"Alvarado, Christine J.",WI19,420,394,97.5,99.4,10.965,3.315,3.05
CSE,CSE 100 ,"Baden, Scott B.",SP13,139,37,78.4,45.9,10.39,3.3,2.6
CSE,CSE 100 ,"Baden, Scott B.",SP14,178,79,93.0,22.5,12.95,3.07,2.4
CSE,CSE 100 ,"Bandeira, Nuno Filipe Cabrita",FA15,296,123,93.15,88.30000000000001,9.83,3.21,3.14
CSE,CSE 100 ,"Bandeira, Nuno Filipe Cabrita",WI14,135,59,98.2,89.3,9.63,3.02,3.29
CSE,CSE 100 ,"Burkhard, Walter A.",SP08,65,30,90.0,40.0,8.03,3.21,2.87
CSE,CSE 100 ,"Burkhard, Walter A.",SP10,131,66,89.4,62.1,6.5,3.31,2.43
CSE,CSE 100 ,"Burkhard, Walter A.",SP11,115,42,81.0,28.6,8.31,2.93,2.64
CSE,CSE 100 ,"Burkhard, Walter A.",SP12,112,43,86.0,58.1,7.94,2.95,2.62
CSE,CSE 100 ,"Burkhard, Walter A.",WI08,48,24,90.9,81.8,6.0,3.36,2.67
CSE,CSE 100 ,"Burkhard, Walter A.",WI10,94,43,88.4,62.8,7.94,3.46,2.73
CSE,CSE 100 ,"Burkhard, Walter A.",WI11,144,57,77.2,28.1,8.64,2.98,2.52
CSE,CSE 100 ,"Burkhard, Walter A.",WI12,150,65,83.1,43.1,6.28,3.13,2.83
CSE,CSE 100 ,"Cao, Yingjun",S216,61,53,94.2,94.2,14.29,3.37,3.01
CSE,CSE 100 ,"Cao, Yingjun",S218,36,15,93.3,93.3,17.83,3.4,2.97
CSE,CSE 100 ,"Cao, Yingjun",S219,34,26,96.2,92.3,18.88,3.08,2.87
CSE,CSE 100 ,"Cao, Yingjun",SP17,386,325,95.9,94.65,12.094999999999999,3.315,3.05
CSE,CSE 100 ,"Cao, Yingjun",SP19,381,241,84.8,79.69999999999999,15.34,3.08,3.05
CSE,CSE 100 ,"Freund, Yoav",SP12,112,38,80.6,69.4,8.22,2.95,2.62
CSE,CSE 100 ,"Freund, Yoav",SP13,98,35,97.1,82.4,10.09,3.39,3.26
CSE,CSE 100 ,"Hofri, Matan",S213,74,12,91.7,50.0,14.83,3.08,2.62
CSE,CSE 100 ,"Kube, Paul Richard",FA07,41,27,88.9,92.3,13.46,3.13,2.97
CSE,CSE 100 ,"Kube, Paul Richard",FA09,55,32,93.8,87.5,12.06,3.13,2.99
CSE,CSE 100 ,"Kube, Paul Richard",FA10,139,75,93.3,80.0,10.82,3.23,2.95
