Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
BENG,BENG 100 ,"Abbasi, Shaghayegh",S119,30,9,66.7,100.0,7.39,3.11,2.7
BENG,BENG 100 ,"Alexandrov, Ludmil B",SP18,163,74,76.4,90.1,7.2,3.18,2.91
BENG,BENG 100 ,"Alexandrov, Ludmil B",SP19,174,80,60.0,80.0,7.38,3.14,2.87
BENG,BENG 100 ,"Coleman, Todd Prentice",SP13,152,61,70.7,74.1,9.69,3.04,3.25
BENG,BENG 100 ,"Coleman, Todd Prentice",SP14,137,42,70.7,82.9,9.47,3.1,3.06
BENG,BENG 100 ,"Coleman, Todd Prentice",SP15,146,62,53.4,67.2,10.95,3.14,3.08
BENG,BENG 100 ,"Coleman, Todd Prentice",SP16,154,51,56.3,56.3,9.33,3.0,2.63
BENG,BENG 100 ,"Coleman, Todd Prentice",SP17,150,53,65.4,78.8,8.81,3.08,2.9
BENG,BENG 100 ,"Micou, Melissa Kurtis",SP08,161,73,82.1,77.6,4.5,3.66,2.9
BENG,BENG 100 ,"Micou, Melissa Kurtis",SP09,156,100,75.3,68.5,6.37,3.41,3.14
BENG,BENG 100 ,"Micou, Melissa Kurtis",SP10,185,167,79.5,77.0,6.37,3.35,2.9
BENG,BENG 100 ,"Micou, Melissa Kurtis",SP11,196,83,73.5,71.1,5.17,3.29,3.15
BENG,BENG 100 ,"Micou, Melissa Kurtis",SP12,119,58,86.2,79.3,5.09,3.55,3.16
BENG,BENG 100 ,"Watson, John Thomas",SP08,161,61,78.9,62.1,4.3,3.66,2.9
BENG,BENG 100 ,"Watson, John Thomas",SP09,156,94,82.8,78.2,5.98,3.41,3.14
BENG,BENG 100 ,"Watson, John Thomas",SP10,185,156,80.8,78.1,5.83,3.35,2.9
BENG,BENG 100 ,"Watson, John Thomas",SP11,196,70,80.9,69.1,5.05,3.29,3.15
BENG,BENG 101 ,"Hall, David J",FA07,52,43,80.0,61.5,4.4,3.64,3.31
BENG,BENG 101 ,"Hall, David J",FA08,34,20,90.0,85.0,4.29,3.47,3.02
BENG,BENG 101 ,"Hall, David J",FA09,57,57,81.1,79.2,5.1,3.31,2.63
BENG,BENG 101 ,"Hall, David J",FA11,48,39,86.5,75.7,6.29,3.54,3.32
BENG,BENG 101 ,"Hall, David J",FA12,48,36,79.4,61.8,4.8,3.44,3.43
BENG,BENG 101 ,"Hall, David J",FA13,84,47,72.3,59.6,6.37,3.18,3.06
BENG,BENG 101 ,"Hall, David J",FA14,64,52,86.3,74.5,5.21,3.37,3.05
BENG,BENG 101 ,"Lal, Ratnesh",FA10,72,31,64.5,45.2,5.15,3.31,3.15
BENG,BENG 101 ,"Lal, Ratnesh",FA11,48,42,95.2,85.7,5.83,3.54,3.32
BENG,BENG 101 ,"Lal, Ratnesh",FA12,48,41,84.6,79.5,4.5,3.42,3.43
BENG,BENG 101 ,"Lal, Ratnesh",FA13,83,49,77.6,46.9,6.58,3.13,3.06
BENG,BENG 101 ,"Lal, Ratnesh",FA14,64,53,86.5,82.7,5.15,3.38,3.05
BENG,BENG 101 ,"Silva, Gabriel",FA07,52,43,80.0,61.5,4.4,3.64,3.31
BENG,BENG 101 ,"Silva, Gabriel",FA08,34,18,76.5,87.5,4.75,3.47,3.02
