Instructor,Course,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),WI19,68,21,94.7 %,100.0 %,6.08,B+ (3.37),B+ (3.41)
"Yip, Michael",ECE 115 - Fast Prototyping (A),WI19,6,5,100.0 %,100.0 %,10.1,B (3.00),N/A
"Esmaili, Gholamreza",ECE 121B - Energy Conversion (A),WI19,31,14,100.0 %,100.0 %,8.21,B+ (3.43),B- (2.97)
"Esmaili, Gholamreza",ECE 125A - Intro to Power Electronics I (A),WI19,28,9,100.0 %,100.0 %,9.17,B+ (3.44),B (3.16)
"Ng, Tse Nga",ECE 134 - Electrnc Materls Sci/Integ Cir (A),WI19,21,10,100.0 %,100.0 %,5.61,A- (3.78),B+ (3.45)
"Gessner, Richard K.",ECE 140A - The Art of Product Eng I (A),WI19,67,23,86.4 %,90.9 %,7.95,B+ (3.41),B+ (3.43)
"Khoshabeh, Ramsin",ECE 140A - The Art of Product Eng I (A),WI19,65,23,86.4 %,90.9 %,7.95,B+ (3.41),B+ (3.43)
"Gessner, Richard K.",ECE 141A - Software Foundations I (A),WI19,63,40,100.0 %,97.5 %,9.05,B+ (3.58),B+ (3.38)
"Unpingco, Jose H.",ECE 143 - Programming for Data Analysis (A),WI19,67,54,94.3 %,96.2 %,7.62,A- (3.79),B+ (3.50)
"Phan, Alex Minh Giang",ECE 144 - LabVIEW Programming (A),WI19,23,18,94.4 %,100.0 %,14.61,B+ (3.44),B+ (3.63)
"Hildebrand, John A",ECE 145BL - Acoustics Lab (A),WI19,10,5,75.0 %,100.0 %,6,A (4.00),N/A
"de Oliveira, Mauricio",ECE 148 - Intro to Autonomous Vehicles (A),WI19,15,6,60.0 %,80.0 %,8.9,A- (3.83),N/A
"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (A),WI19,16,6,60.0 %,80.0 %,8.9,A- (3.83),N/A
"Gilja, Vikash",ECE 15 - Engineering Computation (A),WI19,169,76,80.0 %,90.0 %,8.61,B (3.14),B (3.23)
"Lugannani, Robert",ECE 153 - Probability&Random Process/Eng (A),WI19,45,15,100.0 %,100.0 %,5.5,B+ (3.67),B (3.23)
"Milstein, Laurence B.",ECE 154B - Communications Systems II (A),WI19,8,5,80.0 %,80.0 %,8.5,B+ (3.40),N/A
"Ling, Patrick L",ECE 157A - Communications Systems Lab I (A),WI19,8,3,100.0 %,100.0 %,8.5,B+ (3.67),N/A
"Khoshabeh, Ramsin",ECE 16 - Rapid Hardware & Software Dsn (A),WI19,21,13,92.3 %,92.3 %,14.5,B (3.18),B (3.15)
"Nguyen, Truong Quang",ECE 161B - Digital Signal Processing I (A),WI19,43,19,100.0 %,100.0 %,7.87,B (3.00),B+ (3.34)
"Trivedi, Mohan M.",ECE 172A - Introductn/Intelligent Systems (A),WI19,109,27,84.0 %,84.0 %,8.26,B (3.24),B (3.17)
"Vasconcelos, Nuno",ECE 175A - Pattrn Recogn and Machine Lrng (A),WI19,90,20,81.3 %,87.5 %,9.38,B (3.00),B (3.03)
"Kumar, Rakesh",ECE 180 - Topics in ECE (A),WI19,33,30,96.7 %,93.3 %,6.3,A- (3.83),B+ (3.49)
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (C),WI19,31,11,100.0 %,100.0 %,3.77,A- (3.82),A- (3.73)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),WI19,22,4,100.0 %,100.0 %,9.83,B+ (3.67),B (3.30)
"Zhang, Xinyu",ECE 191 - Engineering Group Design Proj (A),WI19,22,4,100.0 %,100.0 %,9.83,B+ (3.67),B (3.30)
"Sievenpiper, Daniel F.",ECE 100 - Linear Electronic Systems (A),FA18,142,100,98.0 %,96.0 %,9.77,B (3.11),C+ (2.57)
"Siegel, Paul H.",ECE 101 - Linear Systems Fundamentals (A),FA18,127,84,89.0 %,95.1 %,7.89,B (3.17),B (3.02)
"Hall, Drew A.",ECE 102 - Intro/Active Circuit Design (A),FA18,54,23,82.6 %,90.9 %,12.24,B- (2.83),B- (2.71)
"Ng, Tse Nga",ECE 103 - Fundamntls/Devices & Materials (A),FA18,42,20,78.9 %,63.2 %,8.61,B+ (3.44),B (3.07)
"Lomakin, Vitaliy",ECE 107 - Electromagnetism (A),FA18,49,23,89.5 %,84.2 %,7.76,B (3.16),B- (2.70)
"Zeger, Kenneth A.",ECE 109 - Engineering Probability&Stats (A),FA18,91,37,91.2 %,91.2 %,6.84,B (3.11),C+ (2.66)
"Koushanfar, Farinaz",ECE 111 - Advanced Digital Design Proj (A),FA18,42,35,68.6 %,54.3 %,8.44,B+ (3.40),B+ (3.58)
"Esmaili, Gholamreza",ECE 121A - Power Sys Analysis & Fundmntls (A),FA18,50,14,100.0 %,83.3 %,7.42,B+ (3.31),B (3.20)
"Kuzum, Duygu",ECE 135A - Semiconductor Physics (A),FA18,15,10,100.0 %,100.0 %,5.3,A- (3.70),N/A
"Unpingco, Jose H.",ECE 143 - Programming for Data Analysis (A),FA18,92,75,85.3 %,90.5 %,6.63,A- (3.74),B+ (3.60)
"Phan, Alex Minh Giang",ECE 144 - LabVIEW Programming (A),FA18,14,14,100.0 %,100.0 %,12.36,B (3.29),N/A
"Hildebrand, John A",ECE 145AL - Acoustics Laboratory (A),FA18,13,4,100.0 %,100.0 %,4,B+ (3.67),N/A
"de Oliveira, Mauricio",ECE 148 - Intro to Autonomous Vehicles (A),FA18,12,6,100.0 %,100.0 %,8.17,A (4.00),N/A
"Vardy, Alexander",ECE 15 - Engineering Computation (A),FA18,262,165,74.8 %,80.4 %,8.86,B- (2.86),C+ (2.66)
"Javidi, Tara",ECE 153 - Probability&Random Process/Eng (A),FA18,21,15,66.7 %,86.7 %,7.97,C+ (2.67),B- (2.75)
"Milstein, Laurence B.",ECE 154A - Communications Systems I (A),FA18,10,3,100.0 %,100.0 %,5.83,B (3.00),N/A
"Franceschetti, Massimo",ECE 158A - Data Networks I (A),FA18,31,10,100.0 %,100.0 %,3.83,B+ (3.33),B (3.05)
"Khoshabeh, Ramsin",ECE 16 - Rapid Hardware & Software Dsn (A),FA18,23,7,71.4 %,85.7 %,13.93,B (3.14),B+ (3.46)
"Rao, Bhaskar D.",ECE 161A - Intr/Digital Signal Processing (A),FA18,66,20,75.0 %,90.0 %,8.8,C+ (2.63),C+ (2.65)
"Hall, Drew A.",ECE 164 - Analog Integrtd Circuit Design (A),FA18,58,30,90.0 %,93.1 %,13.03,B+ (3.45),B (3.13)
"Rebeiz, Gabriel",ECE 166 - Microwave Systems and Circuits (A),FA18,63,29,100.0 %,100.0 %,11.71,B+ (3.57),B (3.23)
"Sworder, David D.",ECE 171B - Linear Control System Theory (A),FA18,20,9,100.0 %,100.0 %,8.28,B+ (3.56),B+ (3.60)
"Pal, Piya",ECE 174 - Intro/Linear&Nonlinear Optimiz (A),FA18,95,27,32.0 %,44.0 %,12.02,C+ (2.32),C+ (2.55)
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (A),FA18,32,9,100.0 %,100.0 %,4.72,A- (3.89),B+ (3.61)
"Lomakin, Vitaliy",ECE 182 - Electromagnetic Optcs/GW&FbrOp (A),FA18,6,3,100.0 %,100.0 %,5.83,A (4.00),N/A
"Liu, Zhaowei",ECE 187 - Intro/Biomed Imaging & Sensing (A),FA18,27,5,100.0 %,100.0 %,6.9,A- (3.75),B+ (3.50)
"Cosman, Pamela C.",ECE 191 - Engineering Group Design Proj (A),FA18,15,5,80.0 %,75.0 %,11.3,B (3.00),N/A
"Baghdadchi, Saharnaz",ECE 101 - Linear Systems Fundamentals (A),S218,50,42,82.9 %,90.2 %,9.26,B (3.12),C+ (2.63)
"Shevchenko, Valentin I",ECE 107 - Electromagnetism (A),S218,40,16,73.3 %,53.3 %,14.1,C+ (2.67),B (3.10)
"Silberman, Jack",ECE 148 - Intro to Autonomous Vehicles (A),S218,14,11,100.0 %,100.0 %,14.68,A (4.00),N/A
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (A),S218,37,10,88.9 %,88.9 %,6.75,A- (3.78),B+ (3.49)
"Abi Samra, Nicholas Camill",ECE 180 - Topics in ECE (A),S118,51,12,100.0 %,100.0 %,5.41,A- (3.92),A- (3.86)
"Touri, Behrouz",ECE 101 - Linear Systems Fundamentals (A),SP18,146,65,80.3 %,86.9 %,7.7,B (3.18),B- (2.97)
"Kuzum, Duygu",ECE 103 - Fundamntls/Devices & Materials (A),SP18,39,18,88.2 %,100.0 %,7.79,B (3.00),B (3.15)
"Lomakin, Vitaliy",ECE 107 - Electromagnetism (A),SP18,75,28,84.0 %,76.0 %,9.06,B- (2.87),B- (2.83)
"Lugannani, Robert",ECE 109 - Engineering Probability&Stats (A),SP18,261,90,85.1 %,84.9 %,5.98,B+ (3.42),B- (2.74)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (A),SP18,60,13,91.7 %,91.7 %,8.33,B+ (3.55),B+ (3.59)
"Lin, Bill",ECE 111 - Advanced Digital Design Proj (B),SP18,59,16,93.3 %,100.0 %,4.5,A- (3.73),B+ (3.59)
"Yip, Michael",ECE 115 - Fast Prototyping (A),SP18,21,15,100.0 %,100.0 %,13.97,B+ (3.47),B+ (3.68)
"Quest, Kevin B",ECE 120 - Solar System Physics (A),SP18,48,14,100.0 %,100.0 %,2.96,B+ (3.54),B (3.27)
"Sievenpiper, Daniel F.",ECE 123 - Antenna Systems Engineering (A),SP18,26,17,100.0 %,100.0 %,6.15,B (3.12),B- (2.90)
"Esmaili, Gholamreza",ECE 125B - Intro to Power Electronics II (A),SP18,33,9,88.9 %,100.0 %,11.17,B+ (3.33),B (3.04)
"Dayeh, Shadi Ahmad",ECE 136L - Microelectronics Laboratory (A),SP18,19,6,100.0 %,100.0 %,6.9,A (4.00),N/A
"Gessner, Richard K.",ECE 140B - The Art of Product Eng II (A),SP18,32,21,95.2 %,100.0 %,9.45,B+ (3.62),B+ (3.70)
