Department,Course Number,Instructor,Term,Enroll,Evals Made,Rcmnd Class,Rcmnd Instr,Study Hrs/wk,Avg Grade Expected,Avg Grade Received
ECE,ECE 134 ,"Ng, Tse Nga",WI19,21,10,100.0,100.0,5.61,3.78,3.45
ECE,ECE 135A ,"Tu, Charles",WI15,31,9,100.0,100.0,7.61,3.22,2.66
ECE,ECE 135A ,"Tu, Charles",WI17,25,5,100.0,80.0,6.0,3.25,2.7
ECE,ECE 135A ,"Yu, Paul K L",WI13,20,9,88.9,77.8,9.0,3.13,2.5
ECE,ECE 135A ,"Yu, Paul K L",WI14,15,5,100.0,100.0,6.9,3.25,2.62
ECE,ECE 135B ,"Dayeh, Shadi Ahmad",SP15,27,10,100.0,100.0,13.1,3.44,3.18
ECE,ECE 136L ,"Dayeh, Shadi Ahmad",WI15,22,7,71.4,85.7,16.21,3.0,3.09
ECE,ECE 136L ,"Dayeh, Shadi Ahmad",WI16,20,8,100.0,100.0,13.5,3.13,3.3
ECE,ECE 136L ,"Dayeh, Shadi Ahmad",WI17,33,18,92.9,92.9,10.5,3.31,3.3
ECE,ECE 136L ,"Lau, Silvanus S",WI14,15,11,100.0,100.0,13.9,3.38,2.85
ECE,ECE 136L ,"Lau, Silvanus S",WI15,22,7,71.4,85.7,16.21,3.0,3.09
ECE,ECE 140A ,"Gessner, Richard K.",WI18,48,38,97.4,97.4,8.34,3.39,3.51
ECE,ECE 140A ,"Gessner, Richard K.",WI19,67,23,86.4,90.9,7.95,3.41,3.43
ECE,ECE 140A ,"Khoshabeh, Ramsin",WI18,48,38,97.4,97.4,8.34,3.39,3.51
ECE,ECE 140A ,"Khoshabeh, Ramsin",WI19,65,23,86.4,90.9,7.95,3.41,3.43
ECE,ECE 140B ,"Gessner, Richard K.",SP18,32,21,95.2,100.0,9.45,3.62,3.7
ECE,ECE 140B ,"Gessner, Richard K.",SP19,39,27,66.7,80.8,9.17,3.44,3.52
ECE,ECE 140B ,"Khoshabeh, Ramsin",SP18,32,21,95.2,100.0,9.45,3.62,3.7
ECE,ECE 140B ,"Khoshabeh, Ramsin",SP19,39,27,66.7,92.3,9.17,3.44,3.52
ECE,ECE 141A ,"Gessner, Richard K.",WI19,63,40,100.0,97.5,9.05,3.58,3.38
ECE,ECE 141B ,"Gessner, Richard K.",SP19,48,19,94.4,100.0,10.61,3.73,3.49
ECE,ECE 143 ,"Unpingco, Jose H.",FA18,92,75,85.3,90.5,6.63,3.74,3.6
ECE,ECE 143 ,"Unpingco, Jose H.",SP18,62,18,72.2,77.8,7.72,3.59,3.35
ECE,ECE 143 ,"Unpingco, Jose H.",SP19,100,58,100.0,100.0,6.46,3.89,3.8
